13 TRIATHLON SPRINT PIASCO E GIOVANILI | 24-05-2026 | Piasco (Cuneo) | Piemonte | Triathlon Sprint		Silver | 
13°IRON TOUR CROSS - TRIATHLON OFF-ROAD A TAPPE-ISOLA D'ELBA | 02-05-2026 | Capoliveri (Livorno) | Toscana | Triathlon Sprint MTB		Silver | 
15 DUATHLON CITTÀ DI VIGEVANO | 12-04-2026 | Vigevano (Pavia) | Lombardia | Duathlon Kids		Giovanile | 
15 DUATHLON CITTÀ DI VIGEVANO | 12-04-2026 | Vigevano (Pavia) | Lombardia | Duathlon Youth		Giovanile | 
17° TERRIBLE TRIATHLON IDROMAN | 21-06-2026 | Idro (Brescia) | Lombardia | Triathlon Medio		Silver | 
17° TERRIBLE TRIATHLON IDROMAN | 21-06-2026 | Idro (Brescia) | Lombardia | Triathlon Olimpico		Silver | 
17° TERRIBLE TRIATHLON IDROMAN | 21-06-2026 | Idro (Brescia) | Lombardia | Triathlon Sprint		Silver | 
1° COPPA S. AGATA DUATHLON SUPER SPRINT | 01-02-2026 | Catania (Catania) | Sicilia | Duathlon Super Sprint | 
1° DUATHLON DELLA LUNIGIANA | 29-03-2026 | Aulla (Massa) | Toscana | Duathlon Sprint		Bronze | 
1° DUATHLON SPRINT DI OSTIA "EGIDIO E FRANCESCO" | 15-03-2026 | Roma (Roma) | Lazio | Duathlon Sprint		Bronze | 
1° WINTER TRIATHLON MONTE BONDONE | 22-02-2026 | Trento (Trento) | Trentino-Alto Adige/Südtirol | WinterTriathlon Sprint		Giovanile | 
1° WINTER TRIATHLON MONTE BONDONE | 22-02-2026 | Trento (Trento) | Trentino-Alto Adige/Südtirol | WinterTriathlon | 
2026 WORLD TRIATHLON WINTER CHAMPIONSHIPS PADOLA | 01-03-2026 | Comelico Superiore (Belluno) | Veneto | Triathlon Atipico		Giovanile | 
2026 WORLD TRIATHLON WINTER CHAMPIONSHIPS PADOLA | 01-03-2026 | Comelico Superiore (Belluno) | Veneto | WinterTriathlon Classico | 
2026 WORLD TRIATHLON WINTER CHAMPIONSHIPS PADOLA | 01-03-2026 | Comelico Superiore (Belluno) | Veneto | WinterTriathlon Sprint | 
2026 WORLD TRIATHLON WINTER CHAMPIONSHIPS PADOLA | 01-03-2026 | Comelico Superiore (Belluno) | Veneto | WinterTriathlon Staffetta | 
2026 WORLD TRIATHLON WINTER DUATHLON CHAMPIONSHIPS PADOLA | 27-02-2026 | Comelico Superiore (Belluno) | Veneto | Winter Duathlon Sprint | 
2026 WORLD TRIATHLON WINTER DUATHLON CHAMPIONSHIPS PADOLA | 27-02-2026 | Comelico Superiore (Belluno) | Veneto | Winter Duathlon | 
22° DUATHLON KIDS CONAD | 29-03-2026 | Parma (Parma) | Emilia-Romagna | Duathlon Kids		Giovanile Paratriathlon | 
22° DUATHLON KIDS CONAD | 29-03-2026 | Parma (Parma) | Emilia-Romagna | Duathlon Miniduathlon		Giovanile Paratriathlon | 
22° DUATHLON KIDS CONAD | 29-03-2026 | Parma (Parma) | Emilia-Romagna | Duathlon Youth		Giovanile Paratriathlon | 
22° DUATHLON SPRINT CITTA' DELLO ZAFFERANO | 29-03-2026 | San Gavino Monree (Carbonia) | Sardegna | Duathlon Kids		Giovanile | 
22° DUATHLON SPRINT CITTA' DELLO ZAFFERANO | 29-03-2026 | San Gavino Monree (Carbonia) | Sardegna | Duathlon Sprint		Silver | 
22° DUATHLON SPRINT CITTA' DELLO ZAFFERANO | 29-03-2026 | San Gavino Monree (Carbonia) | Sardegna | Duathlon Youth		Giovanile | 
23° TRIATHLON OLIMPICO CITTÀ DI PIETRA LIGURE | 06-06-2026 | Pietra Ligure (Savona) | Liguria | Triathlon Olimpico		Silver | 
2° TRIATHLON CRONO TAVERNOLA | 13-06-2026 | Tavernola Bergamasca (Bergamo) | Lombardia | Triathlon Sprint		Silver | 
2°TRIATHLON SPRINT PUSIANO LAKE | 31-05-2026 | Pusiano (Como) | Lombardia | Triathlon Sprint		Silver | 
32° TRIATHLON DI ANDORA | 19-04-2026 | Andora (Savona) | Liguria | Triathlon Olimpico		Silver | 
32° TRIATHLON DI ANDORA | 19-04-2026 | Andora (Savona) | Liguria | Triathlon Sprint		Silver | 
37.TRIATHLON DI CALDARO - OLIMPICO | 09-05-2026 | Cdaro sulla strada del vino/Ktern an der Weinstraße (Bolzano) | Trentino-Alto Adige/Südtirol | Triathlon Olimpico		Silver | 
3° DUATHLON CLASSICO SILVER NO DRAFT DEL LITORALE PISANO | 29-03-2026 | Pisa (Pisa) | Toscana | Duathlon Classico		Silver | 
4° DUATHLON DEL PIAVE | 12-04-2026 | San Donà di Piave (Venezia) | Veneto | Duathlon Sprint MTB		Bronze | 
4° DUATHLON GIOVANILE SESTO FIORENTINO - YOUTH | 01-03-2026 | Sesto Fiorentino (Firenze) | Toscana | Duathlon Kids		Giovanile | 
4° DUATHLON GIOVANILE SESTO FIORENTINO - YOUTH | 01-03-2026 | Sesto Fiorentino (Firenze) | Toscana | Duathlon Super Sprint		Giovanile | 
5° WINTER TRIATHLON & WINTER DUATHLON PREDAZZO | 10-01-2026 | Predazzo (Trento) | Trentino-Alto Adige/Südtirol | Winter Duathlon Classico | 
5° WINTER TRIATHLON & WINTER DUATHLON PREDAZZO | 10-01-2026 | Predazzo (Trento) | Trentino-Alto Adige/Südtirol | Winter Duathlon Kids		Giovanile | 
5° WINTER TRIATHLON & WINTER DUATHLON PREDAZZO | 10-01-2026 | Predazzo (Trento) | Trentino-Alto Adige/Südtirol | WinterTriathlon		Giovanile | 
5° WINTER TRIATHLON & WINTER DUATHLON PREDAZZO | 10-01-2026 | Predazzo (Trento) | Trentino-Alto Adige/Südtirol | WinterTriathlon Sprint | 
6° AQUATHLON DELLA VITTORINO - MEMORIAL AARON BERTONCINI | 02-06-2026 | Piacenza (Piacenza) | Emilia-Romagna | Aquathlon		Giovanile | 
6° AQUATHLON DELLA VITTORINO - MEMORIAL AARON BERTONCINI | 02-06-2026 | Piacenza (Piacenza) | Emilia-Romagna | Aquathlon Kids		Giovanile | 
6° TRIATHLON CITTA' DI GORIZIA | 24-05-2026 | Gorizia (Gorizia) | Friuli-Venezia Giulia | Triathlon Kids		Giovanile | 
6° TRIATHLON CITTA' DI GORIZIA | 24-05-2026 | Gorizia (Gorizia) | Friuli-Venezia Giulia | Triathlon Minitriathlon		Giovanile | 
6° TRIATHLON CITTA' DI GORIZIA | 24-05-2026 | Gorizia (Gorizia) | Friuli-Venezia Giulia | Triathlon Sprint		Silver | 
6° TRIATHLON CITTA' DI GORIZIA | 24-05-2026 | Gorizia (Gorizia) | Friuli-Venezia Giulia | Triathlon Youth		Giovanile | 
6° TRIATHLON SPRINT LAGO DI MIGNANO - MEMORIAL ALESSANDRO REPETTI | 28-06-2026 | Vernasca (Piacenza) | Emilia-Romagna | Triathlon		Silver | 
7° TRIATHLON CITTÀ DI VAREDO | 10-05-2026 | Varedo (Monza) | Lombardia | Triathlon Kids		Giovanile | 
7° TRIATHLON CITTÀ DI VAREDO | 10-05-2026 | Varedo (Monza) | Lombardia | Triathlon Minitriathlon		Giovanile | 
7° TRIATHLON CITTÀ DI VAREDO | 10-05-2026 | Varedo (Monza) | Lombardia | Triathlon Super Sprint		Giovanile | 
7° TRIATHLON CITTÀ DI VAREDO | 10-05-2026 | Varedo (Monza) | Lombardia | Triathlon Youth		Giovanile | 
8 MUD DUATHLON MTB TELGATE | 01-03-2026 | Telgate (Bergamo) | Lombardia | Duathlon Kids		Giovanile | 
8 MUD DUATHLON MTB TELGATE | 01-03-2026 | Telgate (Bergamo) | Lombardia | Duathlon Super Sprint		Paratriathlon | 
